id	MC	deltaT	negativeEvent	intervention	interactions	Interested	Joyful	Determined	Calm	Lively	Enthusiastic	Relaxed	Cheerful	Content	Energetic	Upset	Gloomy	Sluggish	Anxious	Bored	Irritated	Nervous	Listless	classi
1	1	0	53	0	1	45	16	8	75	45	28	18	41	64	36	9	35	64	47	40	41	8	92	1
1	2	0,56	37	0	1	52	42	35	50	20	34	43	25	38	11	89	64	42	80	45	74	62	34	2
1	3	1,04	55	0	1	71	80	70	78	87	68	69	93	76	68	10	11	10	17	17	31	2	23	3
1	2	1,81	59	0	1	62	77	75	94	50	73	98	81	74	68	24	11	56	22	21	20	37	12	2
1	1	0,800000000000001	73	0	0	27	40	46	17	63	13	44	46	54	45	80	42	13	77	25	77	90	48	1
1	1	2,45	49	0	1	55	53	18	45	62	43	71	96	50	69	88	58	79	77	75	50	70	90	1
1	1	1,49	62	0	1	61	42	48	78	33	62	72	66	84	85	47	15	65	24	35	3	15	60	1
1	1	0,949999999999999	64	0	0	44	74	30	54	55	62	68	95	62	69	25	41	36	12	85	15	39	49	1
1	1	3,35	28	0	0	21	59	37	60	56	28	19	58	67	27	22	86	94	42	87	31	57	97	1
1	1	0,93	56	0	1	43	55	45	43	41	69	36	51	35	11	51	45	36	41	76	16	62	47	1
1	2	2,7	29	0	1	46	25	32	60	42	29	49	36	41	25	18	20	36	4	9	1	9	25	2
1	1	3,19	48	0	1	29	48	63	55	62	25	55	54	46	41	2	26	42	44	34	29	49	36	1
1	2	0,52	46	0	1	51	23	33	31	28	19	28	28	27	31	61	49	23	55	24	38	36	37	2
1	2	1,11	58	0	1	45	0	18	34	2	20	16	21	4	8	28	33	1	30	20	28	30	36	2
1	2	0,440000000000001	40	0	1	44	29	46	59	9	26	64	10	20	32	35	40	46	63	21	38	43	31	2
1	2	1,47	62	0	1	47	50	44	21	49	33	46	55	34	33	39	42	36	36	29	54	44	22	2
1	1	1,39	56	0	0	53	71	42	47	84	12	28	67	41	78	50	54	49	56	21	40	47	23	1
1	1	6,74000000000001	50	0	1	43	42	19	19	11	53	47	32	29	37	32	75	88	30	70	47	100	73	1
1	1	0,970000000000002	53	0	0	77	28	32	10	57	55	14	56	50	51	87	60	48	55	45	42	47	84	1
1	1	0,43	23	0	1	61	49	14	52	69	69	59	44	42	83	57	37	36	85	36	56	35	55	1
1	1	0,43	72	0	0	40	52	18	45	58	59	27	5	22	35	21	35	16	31	52	57	44	26	1
1	1	1,02	83	0	0	37	39	63	35	74	59	81	42	54	52	76	48	10	56	27	28	56	35	1
1	1	2,07	36	0	1	48	51	37	24	2	53	73	48	19	58	19	67	71	49	66	55	21	15	1
1	1	0,479999999999997	31	0	1	20	29	66	56	7	63	78	33	62	31	62	22	51	25	85	50	7	56	1
1	1	2,58000000000001	41	0	1	49	29	42	96	30	47	43	2	35	43	18	5	32	36	25	41	13	52	1
1	1	1,07	48	0	1	94	20	61	28	71	67	49	60	79	63	52	25	30	75	10	70	56	29	1
1	1	0,579999999999998	68	0	0	82	74	72	69	36	48	56	70	63	58	50	9	9	76	24	49	51	25	1
1	1	1,86000000000001	66	0	0	81	54	66	27	72	99	84	85	62	87	56	43	70	72	64	79	16	51	1
1	1	3,27999999999999	61	0	0	62	45	44	76	42	51	28	62	72	38	1	26	28	8	27	4	29	73	1
1	1	0,990000000000002	58	0	1	70	29	58	88	22	75	51	33	44	41	29	1	18	19	49	35	9	27	1
1	1	1,52	32	0	1	18	40	55	43	47	17	43	54	79	53	58	12	38	43	27	31	64	33	1
1	1	0,93	41	0	0	56	76	65	59	60	80	53	59	55	88	29	22	51	25	50	5	14	29	1
1	1	0,5	51	0	0	83	86	24	46	60	75	5	47	30	35	66	63	46	81	57	68	62	72	1
1	3	0,57	36	0	0	69	65	67	52	69	56	63	57	70	58	10	20	26	29	25	37	21	23	3
1	1	3,19	56	0	1	31	83	33	80	63	53	25	45	80	47	17	47	63	23	38	31	2	47	1
1	1	0,93	40	0	1	53	52	80	83	96	87	54	50	66	89	33	33	62	27	58	38	57	60	1
1	1	0,549999999999997	43	0	1	46	51	34	11	74	37	32	26	47	42	47	30	73	13	47	44	23	78	1
1	1	0,460000000000001	71	0	0	82	81	53	24	62	58	100	68	45	54	47	43	44	54	42	67	80	73	1
1	1	0,539999999999999	40	0	0	33	33	0	10	16	43	35	36	27	37	61	71	75	22	96	30	41	90	1
1	1	0,420000000000002	47	0	1	14	27	26	29	23	28	4	25	39	32	54	93	38	6	47	41	53	44	1
1	1	0,940000000000005	45	0	1	21	47	57	60	66	53	46	45	56	47	47	63	46	91	49	77	90	65	1
1	1	0,479999999999997	46	0	1	39	39	61	49	41	23	61	42	61	64	52	33	10	87	29	68	26	57	1
2	3	0	42	0	1	64	64	70	66	55	59	61	55	63	59	29	31	22	29	26	16	31	22	3
2	1	0,58	70	0	1	60	54	82	40	58	64	61	51	37	47	44	30	41	13	18	7	48	28	1
2	1	3,36	49	0	1	43	31	22	58	69	50	39	41	45	53	47	86	49	40	74	36	35	82	1
